Gene,log2FC,pvalue
PSTPIP1,0.193710823,0.248483493
TRAPPC2L,0.321626155,0.000371522
MTO1,-0.033160927,0.688936907
ALDH1L1,0.048114965,0.774324639
SMARCAD1,-0.139227562,0.005441982
VWA2,-0.056168118,0.671065165
NDUFS7,0.468219871,7.14E-05
EEF1A1,0.177563028,0.003028208
ARHGEF5,-0.277147137,0.03383684
KIAA1551,-0.304902446,5.27E-09
EID1,0.203246801,0.000130589
PTPRK,-0.061173251,0.249822394
EIF2S3,-0.034024615,0.343761518
RPSA,0.34142973,8.10E-08
FKBP15,-0.089502182,0.224060997
C1QBP,0.084374372,0.157921163
C11orf98,0.076698762,0.370635
C21orf59,0.100909672,0.237970233
CEP350,-0.224991243,0.000570672
KLHL20,-0.010726272,0.909432398
PMPCA,0.043936123,0.504768669
ABHD12B,0,0.994677935
AC115220.1,0,0.994677935
AQP5,0,0.994677935
ARMC4,0,0.994677935
ASCL1,0,0.994677935
CDS1,0,0.994677935
CST1,0,0.994677935
CTNND2,0,0.994677935
CYBB,0,0.994677935
CYP2C18,0,0.994677935
DNAH7,0,0.994677935
EPHA8,0,0.994677935
EPN2,0,0.994677935
ERN2,0,0.994677935
FOXS1,0,0.994677935
GADL1,0,0.994677935
HRASLS5,0,0.994677935
LRRC43,0,0.994677935
P2RY4,0,0.994677935
PCDHA1,0,0.994677935
PKNOX2,0,0.994677935
PPP2R2C,0,0.994677935
SCN4A,0,0.994677935
SLN,0,0.994677935
SNX9,0,0.994677935
ST8SIA1,0,0.994677935
SYT16,0,0.994677935
TMPRSS5,0,0.994677935
ZNF705A,0,0.994677935
ZNF878,0,0.994677935
RGS8,0.010566231,0.773870609
PLPBP,-0.105053897,0.048325078
POLR2I,0.160957075,0.063699631
CAPSL,0.010522022,0.80090556
NEK11,0.069947728,0.574459368
PPP1R9B,-0.137486045,0.051077649
NPIPA7,0.117636088,0.501395077
NARS,-0.102676054,0.062344895
CYP2D6,0.014294334,0.875751225
DHRS4,0.252299665,0.012241533
TK2,-0.082359663,0.513590662
TINF2,0.312406219,8.14E-07
DNASE1L2,0.107628988,0.482706976
ZNF606,-0.057434057,0.680301581
GM2A,0.180217295,0.029969191
HCLS1,-0.016051851,0.723369039
C22orf23,0.029809465,0.788175498
BATF2,0.039308799,0.419585158
TMEM151A,0,0.992427626
TTYH3,0.15221274,0.157720703
HRAS,0.140012778,0.18488524
PDCD5,0.096133515,0.275927547
RAB3IL1,0.038970115,0.421757507
TMIGD1,0.010003623,0.805838104
TXNRD1,-0.037654396,0.247849628
FBXL2,0.019420197,0.606346683
FAM217B,0.014511774,0.845764097
PPP6C,-0.037924216,0.449517962
PSMG3,0.133412863,0.112457133
PTPN7,-0.084257961,0.126357176
SUSD3,-0.030395437,0.837058428
ABCA13,0.009698184,0.808805594
OGFR,-0.056844019,0.555126784
CARD8,-0.081142766,0.303465565
CPSF6,-0.086673729,0.025245801
HEATR1,-0.282345686,5.36E-07
NXF5,0.000369113,0.992612125
SLC7A14,0.027942055,0.477043459
MYLPF,0.10872437,0.335364028
NPIPB5,-0.202749346,0.129208518
EXOSC3,0.080559654,0.358104653
ZBP1,-0.013276092,0.664399321
AGFG2,0.280425055,0.036552545
NR2F6,0.114720286,0.393287471
MFSD14B,0.183349576,0.001142563
CLASP1,-0.330708371,4.16E-07
ADAMTS4,0.020011635,0.817226081
C7orf25,0.088259424,0.615858266
CDH23,-0.008649385,0.826267339
DNAJC22,0.092780473,0.397154551
AL139300.1,0.18317289,0.131372486
LPXN,0.033224989,0.614706729
SUPV3L1,-0.022402395,0.732523263
CARD14,0.000356021,0.99274599
SLC29A4,-0.289266514,0.053668305
ARL2BP,0.2312471,4.88E-05
NT5DC4,0,0.992773074
NSUN2,-0.193500058,5.83E-05
KRT71,0.009123952,0.814516515
PHYH,0.054932073,0.644040925
CTDSP2,0.104337444,0.091910115
ACOX2,-0.008355947,0.829229618
THEMIS2,0.008028737,0.947712612
DONSON,0.017347696,0.828595408
POU2F3,0.008988088,0.815894316
MAP1LC3A,0,0.992851776
CHD5,0.027156068,0.851833117
CD300LB,0.017577276,0.665399487
USP5,0.032198999,0.5379847
HRK,-0.129140343,0.455646746
PCDHGA9,0.000341329,0.992899065
ZNF227,0.08672913,0.321365253
NAALADL1,0.017287113,0.668093686
TEKT2,0.008790635,0.817915727
GNA14,0,0.992933462
MTRNR2L5,0.008768908,0.818139562
KIRREL,-0.265621348,3.86E-06
ALOX15B,0.031456391,0.781447542
ZNF212,-0.091343689,0.290157748
GPBAR1,0,0.9929888
C8orf46,0,0.992990888
CYP7A1,0.008640552,0.819467709
NTN3,0.008640552,0.819467709
TRAF2,0.034242816,0.792253436
ELOVL1,0.3888861,7.16E-05
DMRTA2,0.008596711,0.819923641
MYO1H,0,0.993011263
VCAN,0,0.993011263
B3GAT1,-0.192030802,0.026638413
RPL31,0.217350357,0.076676881
OR10K2,0.016729125,0.632045196
LIAS,0.084722295,0.459896294
PRDM2,-0.112381996,0.169893148
DHH,0.008442742,0.821534327
ECHDC1,0.126727872,0.041731859
LGALS3,0.008427755,0.821691895
SCUBE1,0.008415736,0.821818374
GNPNAT1,-0.007757156,0.835442166
MCHR1,0,0.993097557
RPS13,0.082872427,0.25930699
ZNF326,-0.3635781,7.70E-07
GOLGA1,-0.139845812,0.287730928
SLC25A33,0.048976366,0.573403498
TNNT3,0.008294609,0.823098122
TMEM210,0.008276401,0.823291316
A2ML1,0.008272315,0.823334701
SLC26A11,0.008272315,0.823334701
SSTR3,-0.044651745,0.666436091
AC093525.1,0.116981144,0.2618043
SLC45A2,0.016063927,0.638765618
CHRM5,0.008133572,0.824814337
LRRC2,0.008126297,0.824892281
YY1AP1,0.005118743,0.935753198
PEG10,0.008110038,0.825066592
FEZ1,0.008076688,0.825424689
TMEM255B,0.008076688,0.825424689
POLR2C,0.084241722,0.119542857
SNCAIP,-0.007428295,0.838957423
DUSP2,0.041463481,0.731996973
PROK1,0.008018758,0.826048519
RAB29,-0.174475125,0.065820147
LTF,0.008011187,0.826130214
CD80,0.015625717,0.660698781
NCCRP1,0.015625717,0.660698781
SORL1,0.015625717,0.660698781
FAT4,0.007963056,0.826650509
RPL29,0.184473227,0.001948116
ZNF771,0.253025506,0.088516059
ZNF223,-0.007321225,0.840118805
TRAM1L1,0.015535513,0.672386924
C17orf50,0.015497571,0.677375191
CTCFL,0.007899178,0.827343507
CNTN2,0.015458892,0.662414702
KCNJ1,0.007874895,0.827607697
TTLL9,0.015402881,0.662993253
CA8,0.005290441,0.932236472
MTCH2,0.114595886,0.051964707
EIF3A,-0.369283338,8.78E-10
SAMSN1,0.063650715,0.668366093
GLRA3,0.00775936,0.828870369
ITPRIPL2,0.00775936,0.828870369
PPP4R3B,-0.061202413,0.292596909
DNAJC30,0.248856565,0.027472963
RNF224,0.015120021,0.665933939
KIAA1324,-0.093453501,0.524522869
NFAT5,-0.343891139,0.000370409
SDHAF3,0.139827197,0.251368243
SKIV2L2,-0.240748583,2.94E-05
STRADB,-0.003641946,0.962808651
SMIM10L1,-0.014325757,0.862191314
COL12A1,0.014775531,0.68472122
PDCL3,-0.166570204,0.035686836
ATP6V1G3,0.014658052,0.685935042
TSHZ2,-0.006802157,0.845874597
PDCD6,0.144563508,0.04005591
ITSN2,-0.169179687,0.009753977
CD163,-0.006678046,0.847283327
COL6A3,-0.006619551,0.847951856
FECH,0.10786445,0.145075824
PDRG1,0.128901652,0.15864776
HYLS1,-0.013590642,0.858798707
GATAD1,-0.117347828,0.228869173
KMT2E,-0.190436964,0.003130538
CLEC16A,-0.190197076,0.018154228
TYSND1,0.273209109,0.023080616
TAOK1,-0.313542201,2.33E-06
C8orf58,0.122140215,0.487369999
RAB9A,0.255270346,0.038571918
TUBA4B,0,0.993992203
TDRD9,0,0.994013235
FN3K,0.021594636,0.832784259
MORN4,0,0.994055421
COL28A1,0.012216742,0.67816984
SOX7,-0.080280758,0.461336297
NCEH1,0.148336141,0.225096682
AC072022.1,0.00031689,0.996529133
ANXA4,-0.065385947,0.502325222
CLTCL1,0.04532452,0.7980761
PPP2CB,-0.036846428,0.547019937
TXNDC8,0.011833422,0.709859743
TRIB1,-0.265314712,0.082879951
PRELP,-0.00548042,0.861620132
FSTL4,-0.064462352,0.689229232
PCNP,0.04665126,0.332422188
PGAP2,0.088926181,0.424996147
ZNF304,0.156884978,0.082394455
HFE2,0.011429999,0.728805342
NOTO,0.011429999,0.728805342
MMADHC,0.034220293,0.50569187
POR,0.207737128,0.003814676
HINT1,0.280921222,0.001317776
MIDN,0.052474593,0.558939024
DLGAP4,-0.057151893,0.589923289
IL17RB,-0.005280225,0.86416567
NUFIP1,-0.173946008,0.042978956
YTHDF1,-0.010476524,0.840576287
MIEF2,0.208722069,0.183744358
ZNF396,-0.009863621,0.959068692
DDX17,-0.001119056,0.977343563
AC097372.1,0.010989121,0.720068343
LRRK1,0.010989121,0.720068343
CRYGS,-0.078486115,0.368837677
HNRNPCL4,0.010846952,0.735684374
GLE1,0.074014315,0.195474469
ACAN,0.010752838,0.736812889
OBSL1,-0.005025196,0.867479838
C16orf74,0,0.994458686
FAM186A,0,0.994458686
REPS2,0,0.994458686
TPH2,0,0.994458686
TRPM8,0,0.994458686
TSGA10IP,0,0.994458686
AC133555.3,0.010564797,0.739083378
ANKEF1,-0.227474723,0.033012528
AL355315.1,-0.094146628,0.470911807
PPARD,0.088621456,0.433044719
CLCN6,0.22522686,0.081239423
AC010326.2,-0.004855148,0.869736901
WNK4,-0.050353552,0.771115693
RAD23B,-0.107437598,0.011320223
ACKR3,0,0.994561011
FPR2,0,0.994561011
PARD6G,0,0.994561011
RBPJL,0,0.994561011
SART3,-0.241185472,1.15E-05
LIN37,0.123439229,0.475023011
TMEM217,-0.018194731,0.893986597
CBWD6,0.182397036,0.253870967
EIF2B2,-0.011934722,0.884397339
CA3,0,0.994626121
PRR18,0,0.994626121
STARD8,0,0.994626121
SYT2,0,0.994626121
ISLR2,0,0.994629104
SEZ6L2,0,0.994629104
ZFAND4,0,0.994629104
NDUFS2,0.045388661,0.442616505
SMIM27,0.320851908,0.05993111
FAM135B,0.005087393,0.86130964
AOX1,0,0.994653845
C4orf19,0,0.994653845
CD72,-0.026365267,0.878864752
ABCG5,0.005008428,0.862386593
AC008687.4,0,0.994677935
AC020909.1,0,0.994677935
AC058822.1,0,0.994677935
ACKR4,0,0.994677935
ACTN3,0,0.994677935
ADAMTS16,0,0.994677935
ADAMTSL4,0.005008428,0.862386593
ADCY2,0.005008428,0.862386593
ADD2,0,0.994677935
AGBL1,0.005008428,0.862386593
AIM2,0,0.994677935
AK5,0,0.994677935
AL162231.1,0,0.994677935
AL359736.3,0,0.994677935
ALAS2,0,0.994677935
ANGPTL8,0,0.994677935
ANKRD45,0,0.994677935
ANKRD65,0,0.994677935
ARRB1,0.005008428,0.862386593
ARSD,0,0.994677935
ART4,0.005008428,0.862386593
ASB9,0,0.994677935
ATP1A4,0,0.994677935
ATP1B4,0,0.994677935
ATP6V1B1,0.005008428,0.862386593
BARX2,0,0.994677935
BEST2,0,0.994677935
BOC,0.005008428,0.862386593
BPIFB1,0,0.994677935
BTLA,0,0.994677935
BVES,0.005008428,0.862386593
C10orf67,0,0.994677935
C11orf42,0,0.994677935
C12orf56,0.005008428,0.862386593
C16orf54,0,0.994677935
C2CD4A,0.005008428,0.862386593
C2CD6,0,0.994677935
C2orf40,0,0.994677935
C2orf91,0,0.994677935
C3orf14,0,0.994677935
C4orf26,0,0.994677935
C6orf141,0,0.994677935
C9orf66,0,0.994677935
CABYR,0,0.994677935
CACNA1S,0,0.994677935
CAMK2A,0,0.994677935
CAPN8,0,0.994677935
CATSPERB,0,0.994677935
CCDC169,0,0.994677935
CCDC170,0,0.994677935
CCDC194,0,0.994677935
CCER1,0,0.994677935
CD40LG,0,0.994677935
CDC20B,0.005008428,0.862386593
CDH18,0.005008428,0.862386593
CDO1,0,0.994677935
CELA1,0,0.994677935
CFAP61,0,0.994677935
CFHR3,0,0.994677935
CHI3L1,0.005008428,0.862386593
CHRNA4,0.005008428,0.862386593
CHST1,0,0.994677935
CLCA2,0,0.994677935
CLDN5,0,0.994677935
CLNK,0,0.994677935
CNTN4,0,0.994677935
COL10A1,0,0.994677935
COL23A1,0.005008428,0.862386593
CORO2B,0,0.994677935
COX6B2,0,0.994677935
CP,0,0.994677935
CPA1,0,0.994677935
CRTAM,0,0.994677935
CSF2RA,0,0.994677935
CSF2RB,0,0.994677935
CTAGE1,0,0.994677935
CTAGE9,0,0.994677935
CTXN2,0.005008428,0.862386593
CX3CL1,0,0.994677935
CYP8B1,0,0.994677935
CYR61,0,0.994677935
DAW1,0,0.994677935
DBX2,0,0.994677935
DCAF12L2,0,0.994677935
DCAF8L2,0,0.994677935
DCDC2B,0,0.994677935
DEFB119,0,0.994677935
DENND2A,0.005008428,0.862386593
DIRAS2,0,0.994677935
DLX6,0.005008428,0.862386593
DOCK10,0,0.994677935
DSEL,0,0.994677935
DSPP,0,0.994677935
DUSP15,0,0.994677935
EFCAB8,0,0.994677935
ELF3,0,0.994677935
ENDOU,0,0.994677935
ENPP2,0,0.994677935
ENPP7,0,0.994677935
EPHB2,0,0.994677935
EPPIN,0,0.994677935
EPS8L1,0,0.994677935
ERMN,0,0.994677935
FABP6,0,0.994677935
FAM159A,0,0.994677935
FAM170A,0.005008428,0.862386593
FAM189A1,0,0.994677935
FAM19A4,0,0.994677935
FAM216B,0,0.994677935
FAM71F1,0,0.994677935
FAM90A1,0,0.994677935
FAM90A26,0,0.994677935
FBXW12,0,0.994677935
FCRL2,0,0.994677935
FER1L5,0,0.994677935
FFAR4,0,0.994677935
FGD5,0,0.994677935
FNDC5,0,0.994677935
FOXR1,0.005008428,0.862386593
FRMD1,0,0.994677935
GDF7,0,0.994677935
GIMAP8,0,0.994677935
GLIS1,0,0.994677935
GLTPD2,0,0.994677935
GLYATL2,0,0.994677935
GOLGA8J,0,0.994677935
GOLGA8M,0,0.994677935
GP6,0,0.994677935
GPER1,0.005008428,0.862386593
GPR142,0,0.994677935
GPR158,0,0.994677935
GPRIN3,0,0.994677935
GREM1,0,0.994677935
GRHL2,0.005008428,0.862386593
GRIN3A,0,0.994677935
GSG1,0,0.994677935
HAAO,0.005008428,0.862386593
HAP1,0,0.994677935
HAVCR1,0.005008428,0.862386593
HIST1H4G,0,0.994677935
HMP19,0,0.994677935
HNMT,0,0.994677935
HNRNPCL3,0.005008428,0.862386593
HRC,0.005008428,0.862386593
HTR5A,0,0.994677935
IL12RB2,0.005008428,0.862386593
IL17C,0,0.994677935
IL2RA,0,0.994677935
IQSEC3,0.005008428,0.862386593
IRX6,0,0.994677935
KBTBD12,0,0.994677935
KCNIP4,0,0.994677935
KCNK15,0,0.994677935
KHDC1L,0,0.994677935
KIAA1210,0.005008428,0.862386593
KL,0,0.994677935
KLF4,0,0.994677935
KLHL33,0,0.994677935
KLK3,0.005008428,0.862386593
KLK7,0,0.994677935
KPNA7,0,0.994677935
KRT78,0,0.994677935
KRT83,0,0.994677935
KRT86,0,0.994677935
KYNU,0,0.994677935
LAMP3,0,0.994677935
LCE5A,0,0.994677935
LCN2,0,0.994677935
LDHAL6A,0.024271214,0.49745928
LHFP,0,0.994677935
LILRB1,0,0.994677935
LIPG,0,0.994677935
LMO2,0,0.994677935
LMO3,0,0.994677935
LMX1B,0,0.994677935
LRRC14B,0,0.994677935
LRRC4,0.005008428,0.862386593
LRRN2,0,0.994677935
LRTM2,0,0.994677935
LY75,0,0.994677935
LZTS1,0.005008428,0.862386593
M1AP,0.005008428,0.862386593
MAP6,0,0.994677935
MARCO,0,0.994677935
MIPOL1,0,0.994677935
MOB3B,0.005008428,0.862386593
MOGAT1,0,0.994677935
MOV10L1,0,0.994677935
MS4A10,0,0.994677935
MS4A4E,0,0.994677935
MTUS2,0,0.994677935
MUC7,0,0.994677935
MYBPC2,0,0.994677935
MYT1,0.005008428,0.862386593
NALCN,0,0.994677935
NOVA1,0.005008428,0.862386593
NOX5,0,0.994677935
NRIP3,0,0.994677935
NYAP2,0,0.994677935
OLFML2B,0,0.994677935
OPN5,0,0.994677935
OR2B2,0,0.994677935
OR2K2,0,0.994677935
OR4D1,0,0.994677935
OSBPL10,0,0.994677935
OTOS,0,0.994677935
OTUD6A,0,0.994677935
P4HA2,0.005008428,0.862386593
PAPPA,0,0.994677935
PBX1,0.005008428,0.862386593
PCDHA2,0,0.994677935
PCDHA4,0.005008428,0.862386593
PCDHGA11,0,0.994677935
PDE6B,0,0.994677935
PDLIM4,0,0.994677935
PDPN,0,0.994677935
PGLYRP2,0,0.994677935
PKD2L1,0,0.994677935
PKP2,0,0.994677935
PLIN5,0,0.994677935
PLXDC2,0,0.994677935
PNMA3,0,0.994677935
PP2D1,0,0.994677935
PPP1R1A,0,0.994677935
PRKCG,0.005008428,0.862386593
PSG3,0,0.994677935
PTGFR,0,0.994677935
PYY,0.005008428,0.862386593
RET,0,0.994677935
RGS11,0,0.994677935
RGS4,0,0.994677935
RNF151,0,0.994677935
RNF157,0,0.994677935
RNF207,0,0.994677935
ROBO3,0,0.994677935
RSPO2,0,0.994677935
RTL3,0,0.994677935
RXFP4,0,0.994677935
S100B,0,0.994677935
SAMD3,0,0.994677935
SDR9C7,0,0.994677935
SECTM1,0,0.994677935
SERPINA1,0,0.994677935
SERPINB6,0.005008428,0.862386593
SFTA2,0,0.994677935
SFTPB,0,0.994677935
SGCA,0,0.994677935
SIGLEC8,0,0.994677935
SKAP2,0,0.994677935
SLC13A4,0,0.994677935
SLC16A8,0,0.994677935
SLC1A2,0,0.994677935
SLC25A47,0,0.994677935
SLC26A9,0,0.994677935
SLC34A2,0,0.994677935
SLC4A1,0,0.994677935
SLC9A4,0,0.994677935
SLITRK2,0.005008428,0.862386593
SMCO1,0,0.994677935
SMPDL3B,0,0.994677935
SPATA18,0,0.994677935
SPIN3,0.005008428,0.862386593
SYDE1,0,0.994677935
SYTL5,0,0.994677935
TACR1,0,0.994677935
TAL1,0,0.994677935
TAS2R46,0,0.994677935
TBX10,0,0.994677935
THEM4,0,0.994677935
THSD7A,0,0.994677935
TLR2,0,0.994677935
TMED6,0.005008428,0.862386593
TMEM191B,0.005008428,0.862386593
TMEM249,0,0.994677935
TMEM40,0,0.994677935
TMEM61,0.005008428,0.862386593
TMEM74B,0,0.994677935
TMIE,0,0.994677935
TMIGD3,0,0.994677935
TNFRSF10D,0,0.994677935
TNFRSF18,0,0.994677935
TNFRSF19,0.005008428,0.862386593
TNFSF10,0,0.994677935
TNFSF15,0,0.994677935
TRIM6,0,0.994677935
TRPM6,0,0.994677935
TSPAN18,0,0.994677935
TSPAN6,0,0.994677935
TTC9B,0.005008428,0.862386593
TUBB1,0.005008428,0.862386593
TUSC3,0,0.994677935
UGT1A1,0.005008428,0.862386593
UNC5D,0,0.994677935
VSIG8,0,0.994677935
VSNL1,0.005008428,0.862386593
WDR49,0,0.994677935
WEE2,0,0.994677935
XIRP1,0,0.994677935
ZBED2,0,0.994677935
ZC2HC1C,0.005008428,0.862386593
ZCCHC14,0.005008428,0.862386593
ZNF521,0,0.994677935
ZNF560,0,0.994677935
ZNF594,0,0.994677935
ZNF625,0,0.994677935
ZNF670-ZNF695,0,0.994677935
ZNF676,0,0.994677935
ZNF677,0,0.994677935
ZNF831,0,0.994677935
ZPBP,0,0.994677935
BAG4,-0.052704601,0.461610303
CRLF1,0.065802566,0.375697883
ZNF35,-0.076622874,0.667418746
TTC39C,0.100184809,0.354337671
ASTL,0.089349648,0.503530016
RPL13A,0.274318164,2.81E-06
NOSIP,0.180250805,0.019051627
PPIL1,0.227334857,0.000200272
MTPN,-0.064445409,0.080928362
TIGD4,0.038980791,0.808909349
SAMD12,-0.093538372,0.556098592
ARIH1,-0.168007759,0.001278216
MED17,-0.138805843,0.048183944
FRAT2,0.100446572,0.308893394
WWP1,-0.061593745,0.452372619
TOPORS,-0.145836934,0.062408345
AL049650.1,-0.073228266,0.605558097
TMEM245,-0.045873408,0.355744759
CFL2,-0.010479855,0.93595939
GTF3C1,-0.159836089,0.010934954
APOBEC3G,-0.235950331,0.154903787
CACNB3,0.017428231,0.911368351
C1orf109,-0.114548929,0.175977679
FSCN3,0.030832331,0.411060106
KIAA1143,-0.130692184,0.004627425
ATP12A,-0.039249681,0.799098686
CXCR5,0.139090971,0.386771745
GPX7,0.162291846,0.117978314
CTNNBL1,0.001655608,0.974820516
PPP1R16B,-0.317612502,0.058754859
AMD1,-0.098637645,0.038480638
RAP2B,0.064566667,0.35768026
UBR5,-0.281587333,1.08E-05
INTS4,-0.088232498,0.24069894
RBMS1,-0.089535613,0.29608196
ATPAF2,0.216187402,0.071388612
ABTB1,0.314429417,0.029957347
CRTC2,0.14903947,0.108200695
FAM160A2,0.160624741,0.219790054
NT5C3A,-0.041500944,0.637298434
TAC3,0.002239609,0.97614151
UBE2J2,0.217986356,0.0041063
NCK1,0.152919949,0.056866127
AL121594.3,-0.009774265,0.950499551
CNOT10,-0.018300338,0.765396847
ZNF180,-0.011077965,0.942466112
CEACAM21,0.067595793,0.455526683
METTL17,0.108468121,0.092021893
CIAO1,0.088237,0.094384428
OCRL,-0.129287287,0.216735979
AMOT,-0.099808058,0.557396793
HOMEZ,0.07050374,0.505360916
MAP3K8,0.096341895,0.552696346
ZNF529,0.035322685,0.719410752
C1orf159,0.235607613,0.143586331
SLC20A2,-0.137987728,0.115633166
VPS13C,-0.34481459,1.83E-06
RINT1,0.032816448,0.65857386
PRRT2,0.106396096,0.493671231
HNF4A,0.134225473,0.313260246
SYNJ2BP,-0.133959468,0.346170997
KIF1C,-0.031801419,0.691529514
TP53TG5,-0.056176655,0.36298416
CACTIN,0.060332334,0.527605936
NOP14,-0.172251896,4.54E-05
TCF7L1,0.000896361,0.994156235
HECTD4,-0.332444277,0.00024003
RNF152,-0.086448332,0.614454145
MAFF,-0.105771033,0.404841541
SLC7A6,-0.114223171,0.028552841
PAX5,0.070206638,0.656371704
TMX1,0.067229414,0.237247826
PRPF19,0.032206099,0.508416075
DAPP1,-0.036844542,0.511213243
ZNF232,-0.155649029,0.083930809
SPIRE2,-0.177211473,0.27751273
ZNF544,-0.045737703,0.475905197
AC090004.1,0.027722473,0.743608436
SLC39A1,0.143911249,0.077662334
TEP1,-0.060352451,0.678851167
BLOC1S2,0.128022109,0.065594655
ATAD2B,-0.168033515,0.046777952
NOS3,-0.106022415,0.540645853
COX16,0.155259901,0.174525982
ARID3C,-0.016310861,0.839221021
ZIK1,-0.015520657,0.8548497
COMMD6,0.232995448,0.012850293
MRPL4,0.244794591,0.01539329
TRIM14,-0.303203896,0.000711507
ARAP2,-0.165275413,0.332371617
BMF,0.29157363,0.002026095
BRCC3,-0.175243471,0.022953699
CIDEB,-0.066510074,0.646233428
PCBP3,0.093877869,0.091691059
FASLG,0.029964981,0.692910913
SMIM24,-0.320472866,0.04279571
ATXN10,0.013851895,0.748474858
COQ5,0.116671294,0.202977124
ZNF740,-0.065685182,0.269256341
TRPM4,0.003459358,0.952730413
DSG1,-0.016393425,0.865017432
RANBP6,-0.133475279,0.122734898
GATAD2A,-0.197604445,0.001474466
PCID2,0.098688822,0.136798885
SLC38A9,0.053948951,0.534096113
ST8SIA5,0.202596273,0.154790363
FAM168A,-0.20337524,0.001045338
FAM160B1,-0.175563542,0.023882321
PAPLN,-0.018772881,0.82001665
HIST1H2AI,-0.044274622,0.726212548
C5orf51,-0.159675369,0.008297104
RING1,-0.013093133,0.833494915
TBX19,0.105565013,0.539430873
PGAM1,0.111395044,0.014094373
FAM103A1,0.151719149,0.108645372
FLG,-0.057102466,0.309046579
TRIM9,-0.072201063,0.409881472
PGM2L1,-0.248113773,0.004626
SLITRK5,0.089417758,0.354646621
CYS1,-0.036412995,0.593811415
FAM222B,-0.198837906,0.051686303
AC010325.1,-0.066605833,0.472931473
PRH2,0.104750455,0.1845026
CCR10,0.022812483,0.75368205
ZNF287,0.104832023,0.397487265
ACRBP,0.148972115,0.305143438
RAB21,-0.133116044,0.052179839
REM2,-0.018885065,0.77561129
FRS2,-0.164594637,0.06675134
SMCHD1,-0.382424904,6.72E-08
NAA30,-0.021364755,0.725797749
OCLN,-0.227947297,0.13115744
UTP15,-0.112424624,0.153621086
NDUFV2,0.131145492,0.075593919
NAF1,-0.182033878,0.040295692
EYS,-0.112225328,0.077742536
ECI1,0.280250906,0.007954091
SYNRG,-0.031786941,0.551035545
CRMP1,-0.228808263,0.124038412
VPS72,0.076988589,0.291760851
COL4A1,-0.042658104,0.491288126
FABP3,-0.031012483,0.605922494
MED15,0.043808112,0.665518983
STRIP1,-0.054962591,0.502200906
TLE2,-0.040097703,0.745982722
LRRC8A,0.029271508,0.752989141
VDAC2,0.046944022,0.294085013
TBC1D10C,0.13796222,0.387133902
PPP1R2P3,0.007681749,0.817239317
CXCL3,-0.082845138,0.634202784
AC136616.1,0.00329976,0.966279894
DNAH2,0.080436905,0.291579956
PTPN20,-0.015200914,0.798568922
PCDHB8,0.02781387,0.710507569
TSPAN9,0.034663107,0.812595175
AC008878.2,0.075021626,0.443252684
UPF2,-0.22873657,0.001132649
C1orf167,-0.018906988,0.783694758
HIST1H4B,-0.014826079,0.821266437
RPL14,0.17902123,0.000374229
TNNC2,-0.055883393,0.35793874
IFFO1,0.023288083,0.869335743
BMP4,0.143402881,0.002225793
PKD1L1,0.021369603,0.765207069
MFF,0.088004746,0.166245228
DIABLO,0.199034579,0.033326563
MARC1,0,0.994677935
A1CF,0.005008428,0.862386593
AC003005.1,0.009824125,0.734886202
AC003688.1,0.005008428,0.862386593
AC005779.2,0.005008428,0.862386593
AC013470.2,0.005008428,0.862386593
AC098650.1,0.005008428,0.862386593
AC104831.1,0,0.994677935
AC145212.1,0.005013698,0.862314461
AC244517.6,0.009824125,0.728170816
ACADL,0.005008428,0.862386593
ACMSD,0.005008428,0.862386593
ACSM1,0.005008428,0.862386593
ACTBL2,0,0.99453583
ACTC1,0,0.994677935
ACVR2A,0,0.994677935
ADAM29,0.005008428,0.862386593
ADAMTS15,0,0.994677935
ADAMTS18,0.005008428,0.862386593
ADCY10,0.008554082,0.820368106
ADGRB1,0.011761161,0.724980253
ADGRF4,0.005008428,0.862386593
ADH6,0.005147797,0.860491506
AHR,0,0.994677935
AICDA,0,0.994677935
AIF1L,0,0.994677935
AJAP1,0,0.994677935
AKAIN1,0.005008428,0.862386593
AKR1C4,0,0.994677935
AL049844.1,0.005008428,0.862386593
AL049844.3,0.005008428,0.862386593
AL117348.2,0.005008428,0.862386593
AL772284.2,0.005008428,0.862386593
ALS2CL,0.011535716,0.727577766
ANKRD63,0,0.994677935
ANPEP,0.005008428,0.862386593
ANXA3,0,0.994677935
AP002495.1,0,0.994677935
APLN,0.024603785,0.59249125
APOA2,0.005144022,0.8605425
APOD,0.005008428,0.862386593
ARHGAP40,0.005008428,0.862386593
ARHGAP44,0,0.994677935
ARHGEF33,0.009824125,0.712510631
ARSJ,0,0.994677935
ASIC4,0.005008428,0.862386593
ASMT,0.005132518,0.860697992
ASPN,0.005008428,0.862386593
ATP1A2,0.005008428,0.862386593
ATP8B1,0,0.994677935
AZU1,0.005008428,0.862386593
B3GALNT1,0,0.994606996
BAIAP2L1,0.005008428,0.862386593
BARX1,0.009824125,0.734886202
BEND2,0.005008428,0.862386593
BMP3,0.009824125,0.728170816
BMPER,0,0.994677935
BNC1,0,0.994677935
BNIP3,0.005008428,0.862386593
BOLL,0.009824125,0.728170816
BPIFC,0,0.994677935
BRINP2,0,0.994677935
BSPRY,0,0.994677935
BTNL3,0.005008428,0.862386593
BX276092.10,0.005008428,0.862386593
C10orf82,0.005008428,0.862386593
C10orf99,0,0.994677935
C11orf88,0,0.994677935
